unique_id,feature_name,honorees,city,county,state,stabr,statename,lea_name,sch_name
2226,"Stonewall Jackson Elementary School (renamed ""Mary Golda Ross Enterprise Eleme"")","Thomas Jonathan ""Stonewall"" Jackson",Oklahoma City,Oklahoma,OK,OK,OKLAHOMA,OKLAHOMA CITY,JACKSON ES
2227,"Stand Watie Elementary School (renamed ""Esperanza. Ross"")",Stand Watie,Oklahoma City,Oklahoma,OK,OK,OKLAHOMA,OKLAHOMA CITY,STAND WATIE ES
2228,"A.P. Hill Elementary School (renamed ""Cool Spring Elementary"")",A.P. Hill,Petersburg,Petersburg City,VA,VA,VIRGINIA,PETERSBURG CITY PBLC SCHS,A.P. HILL ELEM
1240,"Albert Sidney Johnston Elementary School (renamed ""Cedar Crest Elementary"")",Albert Sidney Johnston,Dallas,Dallas,TX,TX,TEXAS,DALLAS ISD,ALBERT SIDNEY JOHNSTON EL
1241,"Robert E. Lee Elementary School (renamed ""Geneva Heights Elementary"")",Robert E. Lee,Dallas,Dallas,TX,TX,TEXAS,DALLAS ISD,ROBERT E LEE EL
1242,"Stonewall Jackson Elementary School (renamed ""Mockingbird Elementary School"")","Thomas Jonathan ""Stonewall"" Jackson",Dallas,Dallas,TX,TX,TEXAS,DALLAS ISD,STONEWALL JACKSON EL
1243,"Lee Elementary School (renamed ""Alice Moore Alexander Elementary School"")",Robert E. Lee,Denton,Denton,TX,TX,TEXAS,DENTON ISD,LEE EL
1246,"Robert E. Lee Elementary School (renamed ""Sunrise Mountain Elementary"")",Robert E. Lee,El Paso,El Paso,TX,TX,TEXAS,EL PASO ISD,LEE EL
1472,"J.E.B. Stuart High School (renamed ""Justice High School"")","James Ewell Brown ""Jeb"" Stuart",Falls Church,Falls Church City,VA,VA,VIRGINIA,RICHMOND CITY PBLC SCHS,J.E.B. STUART ELEM
1474,"Jefferson Davis Middle School (renamed ""Cesar Tarrant Middle School"")",Jefferson Davis,Hampton,Hampton City,VA,VA,VIRGINIA,HAMPTON CITY PBLC SCHS,JEFFERSON DAVIS MIDDLE
1476,"Stonewall Jackson Middle School (renamed ""Unity Braxton Middle School"")","Thomas Jonathan ""Stonewall"" Jackson",Manassas,Manassas City,VA,VA,VIRGINIA,PRINCE WILLIAM CO PBLC SCHS,STONEWALL MIDDLE
1839,"Stonewall Jackson Middle School (renamed ""West Side Middle School"")","Thomas Jonathan ""Stonewall"" Jackson",Charleston,Kanawha,WV,WV,WEST VIRGINIA,KANAWHA COUNTY SCHOOLS,STONEWALL JACKSON MIDDLE SCHOOL
5009,"J.J. Finley Elementary School (renamed ""Carolyn Beatrice Parker Elementary Schoo",Jesse J. Finley,Gainesville,Alachua,FL,FL,FLORIDA,ALACHUA,J. J. FINLEY ELEMENTARY SCHOOL
228,"Robert E. Lee Middle School (renamed ""Jose De Diego Middle School"")",Robert E. Lee,Miami,Miami-Dade,FL,FL,FLORIDA,DADE,JOSE DE DIEGO MIDDLE SCHOOL
234,"Robert E. Lee Middle School (renamed ""College Park Middle School"")",Robert E. Lee,Orlando,Orange,FL,FL,FLORIDA,ORANGE,ROBERT E LEE MIDDLE
